,Nuclear,,Atomic,,Proliferation,,Nonproliferation,,Non-proliferation,,Arms Race,,Women,,JOB or JOBS,,Unemployment,,World/Foreign,
Year,GOP,Dem,GOP,Dem,GOP,Dem,GOP,Dem,GOP,Dem,GOP,Dem,GOP,Dem,GOP,Dem,GOP,Dem,GOP,Dem
1980,7,18,0,3,2,2,0,0,0,1,0,3,11,9,24,22,11,4,18,17
1984,21,12,0,2,0,0,0,0,0,0,0,17,3,8,26,27,4,1,28,17
1988,15,13,0,0,0,0,0,0,0,0,0,0,7,5,36,36,2,0,29,38
1992,8,1,0,0,0,1,0,0,0,0,0,0,10,9,59,121,1,7,32,33
1996,1,4,0,0,0,1,0,0,0,0,0,0,15,7,93,110,5,5,50,28
2000,3,1,0,0,0,1,0,0,0,1,0,0,13,19,17,27,0,7,58,61
2004,10,41,2,0,7,7,0,0,1,0,0,0,6,10,67,127,0,1,68,71
2008,46,50,0,0,0,10,0,2,0,0,0,2,11,6,102,50,0,0,46,60
2012,35,19,0,0,1,0,0,0,0,0,1,1,18,23,215,160,18,1,71,54
2016,30,42,0,0,0,4,0,0,0,0,0,0,23,58,97,97,2,0,78,44
2020,3,7,0,0,0,0,0,0,0,0,0,0,5,4,57,75,3,1,19,20
